China,548,643,920,1406,2075,2877,5509,6087,8141,9802,11891,16630,19716,23707,27440,30587,34110,36814,39829,42354,44386,44759,59895,66358,68413,70513,72434,74211,74619,75077,75550,77001,77022,77241,77754,78166,78600,78928,79356,79932,80136,80261,80386,80537,80690,80770,80823,80860,80887,80921,80932,80945,80977,81003,81033,81058,81102,81156,81250,81305,81435,81498,81591,81661,81782,81897,81999,82122,82198,82279,82361,82432,82511,82543,82602,82665,82718,82809,82883,82941,83014,83134,83213,83306,83356,83403,83760,83787,83805,83817,83853,83868,83884,83899,83909,83912,83918,83940,83944,83956,83959,83959,83964,83966,83968,83970,83975,83976,83990,84010,84011,84018,84024,84029,84038,84044,84054,84063,84063,84063,84063,84081,84084,84095,84102,84103,84106,84106,84123,84128,84146,84154,84161,84160,84171,84177,84186,84191,84195,84198,84209,84216,84228,84286,84335,84378,84422,84458,84494,84494,84553,84572,84624,84653,84673,84701,84725,84743,84757,84780,84785,84816,84830,84838,84857,84871,84889,84917,84950,84992,84992,85071,85117,85117,85226,85246,85327,85402,85418,85503,85622,85708,85906,86045,86202,86381,86570,86783,86990,87213,87489,87655,87827,87985,88099,88206,88328,88460,88580,88672,88793,88906,88958,89045,89144,89214,89279,89375,89441,89494,89527,89567,89616,89654,89695,89718,89752,89784,89814,89836,89863,89895,89914,89933,89953,89986,90008,90025,90058,90078,90087,90100,90127,90145,90168,90197,90219,90235,90253,90294,90311,90334,90369,90381,90399,90409,90424,90441,90456,90483,90505,90528,90545,90567,90584,90604,90629,90652,90667,90687,90728,90751,90778,90812,90830,90858,90869,90905,90925,90955,90972,91006,91022,91044,91073,91108,91128,91151,91175,91222,91271,91299,91339,91366,91397,91452,91478,91509,91552,91591,91622,91665,91693,91719,91752,91783,91807,91828,91850,91872,91885,91906,91935,91977,92037,92116,92211,92296,92402,92488,92586,92681,92814,92902,92993,93113,93221,93348,93467,93577,93670,93782,93898,94025,94124,94217,94328,94427,94537,94626,94734,94821,94953,95050,95150,95228,95298,95383
France,0,0,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,14,18,38,57,100,130,191,212,285,423,613,938,1115,1401,1773,2281,2281,3661,4469,4499,6633,7652,9043,10871,12612,14282,16533,19856,22054,24967,28856,32609,37162,39761,44029,51579,56362,58404,63588,46483,47299,49934,46400,50242,54003,55538,56972,107712,110836,128272,131476,144035,145896,149683,150752,153197,155821,157603,155881,158653,160295,160907,164592,167650,166193,167326,167846,168637,168887,169405,170467,174596,175218,175743,176132,176338,176651,177330,177790,178353,178837,179140,179250,179650,180143,180499,180752,181444,181969,181410,181684,181880,182018,185300,185842,187608,187817,187986,187265,184015,188286,188808,189330,189621,189782,190266,190743,191040,191679,192043,192317,192369,192915,193256,193576,194121,194535,194599,194693,195256,195256,195256,196267,196521,196111,196390,196554,197238,197591,197994,197994,197994,198850,199170,199699,200027,200569,200569,200569,201755,201755,202383,202819,203516,203516,203516,205308,205773,206641,207650,208553,208553,208553,210821,211337,212676,213927,215135,215135,215135,218351,219253,220874,222398,224602,224602,224602,229203,230540,232966,235540,238240,241371,244335,244761,246821,250539,255214,259717,263129,267589,269452,272643,272643,283698,290929,296265,301554,304349,309247,316047,322935,331578,340013,346921,351017,357473,365025,374586,383854,394270,400533,406609,414196,423924,433871,446961,460328,470864,476162,485929,497914,513732,529501,543688,554304,558374,566196,578769,591783,603920,620330,632834,637918,648116,666849,684164,704478,731155,747092,755597,768380,790959,820685,845740,877840,907677,920916,941085,967717,1008483,1050468,1095708,1102262,1174279,1207430,1243855,1290446,1339640,1374691,1420870,1525184,1597139,1549838,1607147,1667604,1754202,1792764,1812919,1834515,1870380,1902644,1926314,1958235,1985427,1994728,2039938,2068297,2088784,2111646,2129287,2142417,2146869,2155722,2171967,2184846,2197283,2209739,2219502,2223393,2231344,2245324,2257894,2269080,2281889,2292838,2296249,2309760,2324300,2337594,2350923,2350793,2376228,2379291,2390419,2407983,2426063,2441737,2458839,2471458,2477255,2488889,2503693,2525234
Japan,2,2,2,2,4,4,7,7,11,15,20,20,20,22,23,23,23,24,24,26,27,28,33,43,54,60,67,79,85,95,112,137,149,160,173,192,218,236,245,259,278,298,333,365,420,466,499,527,585,640,696,733,795,826,843,893,928,968,1022,1059,1104,1144,1217,1314,1416,1530,1728,1907,2001,2255,2535,2818,3154,3525,3876,4110,4485,5020,5614,6250,6951,7473,7773,8277,8835,9398,9958,10548,10914,11258,11641,12037,12469,12854,13186,13405,13576,13860,14076,14284,14558,14861,15061,15229,15354,15455,15553,15640,15755,15824,15861,15948,15998,16096,16148,16202,16226,16259,16287,16321,16362,16385,16410,16451,16472,16502,16528,16598,16673,16716,16751,16787,16837,16867,16911,16958,17000,17039,17060,17111,17146,17187,17250,17293,17369,17439,17484,17530,17588,17658,17725,17780,17820,17879,17963,18055,18162,18254,18366,18476,18615,18838,19055,19185,19461,19668,19848,20055,20261,20617,21044,21430,21841,22125,22437,23172,23510,24104,24946,25446,25706,26463,27136,28114,28883,29684,30548,31142,32116,33382,35144,36234,37804,39116,40099,41347,42686,44167,45764,47342,48782,49617,50302,51288,52471,53818,55051,56074,56717,57636,58728,59900,60949,61916,62658,63158,63888,64779,65653,66499,67353,67958,68396,69023,69619,70278,70866,71467,71918,72213,72724,73264,73916,74558,75206,75646,75914,76446,76997,77488,78061,78662,79142,79462,79773,80009,80490,81054,81703,82186,82484,83022,83591,84244,84768,85345,85746,86027,86540,87039,87679,88267,88962,89400,89652,90153,90694,91402,92044,92670,93098,93408,93895,94515,95134,95868,96599,97095,97503,98146,98877,99674,100450,101327,101943,102431,103309,103928,104964,106136,107439,108394,109191,110487,112011,113655,115360,117113,118611,119557,121247,123477,125859,128285,130871,133034,134554,135786,137735,140225,142778,145457,147515,148962,150976,153432,155938,158387,160870,162917,164434,166592,169429,172406,175310,178272,180639,182311,184752,187751,190950,193753,196815,199270,201074,203732,207007,210769
Russia,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,13,13,17,17,20,20,28,45,59,63,90,114,147,199,253,306,367,438,495,658,840,1036,1264,1534,1836,2337,2777,3548,4149,4731,5389,6343,7497,8672,10131,11917,13584,15770,18328,21102,24490,27938,32008,36793,42853,47121,52763,57999,62773,68622,74588,80949,87147,93558,99399,106498,114431,124054,134687,145268,155370,165929,177160,187859,198676,209688,221344,232243,242271,252245,262843,272043,281752,290678,299941,308705,317554,326448,335882,344481,353427,362342,370680,379051,387623,396575,405843,414328,423186,431715,440538,449256,458102,467073,476043,484630,493023,501800,510761,519458,528267,536484,544725,552549,560321,568292,576162,583879,591465,598878,606043,613148,619936,626779,633563,640246,646929,653479,660231,666941,673564,680283,686852,693215,699749,706240,712863,719449,726036,732547,738787,745197,751612,758001,764215,770311,776212,782040,787890,793720,799499,805332,811073,816680,822060,827509,832993,838461,843890,849277,854641,859762,864948,870187,875378,880563,885718,890799,895691,900745,905762,910778,915808,920719,925558,930276,935066,939833,944671,949531,954328,959016,963655,968297,972972,977730,982573,987470,992402,997072,1001965,1006923,1011987,1017131,1022228,1027334,1032354,1037526,1042836,1048257,1053663,1059024,1064438,1069873,1075485,1081152,1086955,1092915,1098958,1105048,1111157,1117487,1123976,1131088,1138509,1146273,1154299,1162428,1170799,1179634,1188928,1198663,1209039,1219796,1231277,1242258,1253603,1265572,1278245,1291687,1305093,1318783,1332824,1346380,1361317,1376020,1390824,1406667,1422775,1438219,1453923,1471000,1487260,1503652,1520800,1537142,1553028,1570446,1588433,1606267,1624648,1642665,1661096,1680579,1699695,1720063,1740172,1760420,1781997,1802762,1822345,1843678,1865395,1887836,1910149,1932711,1954912,1975629,1998966,2023025,2047563,2071858,2096749,2120836,2144229,2169424,2196691,2223500,2249890,2275936,2302062,2327105,2354934,2382012,2410462,2439163,2466961,2492713,2518551,2546113,2574319,2602048,2629699,2656601,2682866,2708940,2736727,2764843,2792615,2821125,2850042,2878382,2905196,2934695
United Kingdom,0,0,0,0,0,0,0,0,0,2,2,2,8,8,9,9,9,13,14,14,15,16,17,18,18,18,19,19,20,22,23,23,28,30,34,37,44,56,61,94,134,189,246,295,374,429,483,630,889,1301,1790,2270,2634,3077,3692,4462,5467,6533,7791,9006,10395,12744,15126,17843,20970,24219,27062,29954,34281,38815,43789,48718,53699,57772,61422,66738,72224,77387,82293,86660,90273,93812,98017,102365,107465,112808,117798,122534,126394,131260,136035,141540,146708,151689,155453,158926,163630,168357,173807,178771,183501,186731,189708,193091,196780,200616,204387,207439,209589,211911,215500,218895,222195,224813,227334,229406,231232,233809,236867,239579,242133,244174,245682,247037,248650,250309,252118,253854,255362,256469,257539,258983,260453,261802,263040,264150,264944,265662,266756,267915,269101,270108,271162,272050,272857,273888,274971,275970,276990,277974,278640,279264,280156,281038,281815,282512,283151,283785,284192,284812,285216,285279,285285,285787,286412,286931,287290,287874,288511,289154,289678,290504,291154,291691,292931,293469,294116,294803,295632,296358,296944,297389,297952,298731,299500,300270,301020,301708,302261,303063,303910,304793,305562,306309,307251,307926,308832,309796,310696,311461,312574,313392,314542,315581,316729,318190,319232,320343,321064,322177,323008,324203,325263,326595,327643,328620,329821,330967,332509,333806,334916,336668,338083,339415,340929,342708,344686,346513,349500,352451,354932,357613,360544,364088,367592,370930,373555,376670,380677,384087,388416,392845,396744,401122,406058,412245,418889,425767,431817,437517,441573,448729,455846,462775,469769,482654,505619,518222,532779,546952,564502,578390,593565,606447,620458,637708,657459,676455,692112,708298,725292,744122,765487,792194,813451,834010,857043,876840,897740,920664,945378,968456,992874,1014793,1038054,1057021,1077099,1102305,1126469,1149791,1174770,1195350,1216747,1237198,1260198,1293715,1321031,1347907,1372884,1394299,1414359,1434004,1456940,1477214,1497135,1515802,1531267,1542611,1560872,1578429,1593250,1609141,1621305,1633733,1647230,1663467,1678418,1694800,1710379,1727751,1742525,1754911,1771545,1792611,1814395,1835949,1854490,1874867,1893436,1918736,1954268,1982828,2010077,2046161,2079678,2116609,2155996,2195144
US,1,1,2,2,5,5,5,6,6,8,8,8,11,11,11,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,16,16,16,16,16,16,17,17,25,32,55,74,107,184,237,403,519,594,782,1147,1586,2219,2978,3212,4679,6512,9169,13663,20030,26025,34855,46086,56698,68773,86613,105293,124900,143779,165861,192177,218060,248447,280417,313432,341629,371802,403212,435407,469989,503474,532782,559709,585518,614082,644247,675648,708317,736244,761933,790353,816413,845727,878911,912662,944234,971078,994265,1018926,1046737,1076224,1110464,1138228,1162685,1186067,1210577,1235666,1263402,1290151,1315099,1333970,1353397,1376122,1397085,1424243,1449498,1473514,1491829,1513816,1534871,1557933,1583798,1607109,1628212,1648158,1666505,1685956,1704489,1727357,1751612,1775428,1794465,1811655,1833141,1853068,1874451,1899995,1921235,1938921,1956401,1974701,1995914,2018815,2043703,2068887,2087943,2107447,2131024,2157676,2185550,2216739,2248483,2274194,2305200,2341372,2375813,2416165,2461586,2502740,2543302,2583422,2629439,2681029,2736658,2788223,2833945,2883931,2927440,2988283,3048149,3110715,3178541,3239445,3298169,3356407,3424029,3492184,3568772,3640660,3703105,3763696,3825215,3889282,3961257,4029856,4103287,4168436,4223184,4279307,4344986,4416810,4484576,4553337,4610068,4656256,4700961,4758265,4812824,4872195,4930744,4984863,5031263,5079912,5126858,5183757,5235677,5300376,5347012,5387890,5424646,5469674,5517381,5561286,5609976,5653277,5687713,5724133,5764251,5809898,5855060,5902010,5947311,5981967,6017097,6058945,6100018,6143817,6193992,6237103,6268531,6291963,6319097,6353027,6389235,6436624,6477526,6511799,6545665,6585107,6623637,6668590,6717565,6759863,6798261,6849919,6889482,6928137,6974336,7022042,7066289,7103508,7135817,7178637,7219993,7265472,7319889,7368376,7404432,7443292,7488142,7538997,7597310,7653210,7707657,7753980,7795110,7846968,7906419,7970877,8039443,8096194,8145485,8212380,8273792,8336799,8412298,8493414,8576057,8637806,8704274,8780512,8859310,8949782,9048263,9137194,9241521,9324616,9450988,9554518,9682196,9809038,9937298,10047724,10169076,10308385,10454619,10616251,10795270,10963295,11099318,11258134,11419139,11591694,11780990,11977440,12157737,12304199,12472178,12646575,12830170,12944048,13148135,13303242,13442656,13599496,13783773,13985434,14205041,14434647,14650139,14830883,15020042,15239976,15463239,15689923,15924026,16143219,16334361,16527207,16725973,16973376,17209587,17459296,17655591,17844690,18035209,18230242,18458373,18650454
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,4,4,13,13,20,25,31,38,52,151,151,162,200,321,372,621,793,1021,1546,1924,2247,2554,2985,3417,3904,4256,4579,5717,6836,8044,9056,10360,11130,12161,14034,16170,18092,19638,20727,22192,23430,25262,28320,30425,33682,36658,38654,40743,43079,45757,50036,54043,59324,63100,67446,73235,79685,87187,92202,97100,101826,108620,115455,126611,135773,146894,156061,162699,169594,178214,190137,203165,220291,233511,241080,255368,271885,291579,310087,330890,347398,363211,374898,391222,411821,438238,465166,498440,514849,526447,555383,584016,614941,645771,672846,691758,707412,739503,772416,802828,828810,850514,867624,888271,923189,955377,978142,1032913,1067579,1083341,1106470,1145906,1188631,1228114,1274974,1313667,1344143,1368195,1402041,1448753,1496858,1539081,1577004,1603055,1623284,1668589,1713160,1755779,1800827,1839850,1864681,1884967,1926824,1966748,2012151,2046328,2074860,2098389,2118646,2159654,2227514,2287475,2343366,2394513,2419091,2442375,2483191,2552265,2610102,2662485,2707877,2733677,2750318,2801921,2859073,2912212,2962442,3012412,3035422,3057470,3109630,3164785,3224876,3275520,3317096,3340197,3359570,3407354,3456652,3501975,3532330,3582362,3605783,3622861,3669995,3717156,3761391,3804803,3846153,3862311,3908272,3950931,3997865,4041638,4091801,4123000,4137521,4147794,4162073,4197889,4238446,4282164,4315687,4330455,4345610,4382263,4419083,4455386,4495183,4528240,4544629,4558040,4591364,4591364,4657702,4689613,4717991,4732309,4745464,4777522,4810935,4847092,4847092,4906833,4915289,4927235,4969141,5000694,5028444,5055888,5082637,5094979,5103408,5113628,5140863,5169386,5200300,5224362,5224362,5250727,5273954,5298772,5323630,5353656,5380635,5394128,5409854,5439641,5468270,5494376,5516658,5535605,5545705,5554206,5566049,5590025,5590025,5631181,5653561,5664115,5675032,5699005,5747660,5781582,5810652,5848959,5863093,5876464,5911758,5945849,5981767,6020164,6052786,6071401,6087608,6118708,6166606,6204220,6238350,6290272,6314740,6335878,6386787,6436650,6487084,6533968,6577177,6603540,6623911,6674999,6728452,6781799,6836227,6880127,6901952,6927145,6970034,7040608,7110434,7162978,7213155,7238600,7263619,7318821,7365517,7423945
India,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,28,30,31,34,39,43,56,62,73,82,102,113,119,142,156,194,244,330,396,499,536,657,727,887,987,1024,1251,1397,1998,2543,2567,3082,3588,4778,5311,5916,6725,7598,8446,9205,10453,11487,12322,13430,14352,15722,17615,18539,20080,21370,23077,24530,26283,27890,29451,31324,33062,34863,37257,39699,42505,46437,49400,52987,56351,59695,62808,67161,70768,74292,78055,81997,85784,90648,95698,100328,106475,112028,118226,124794,131423,138536,144950,150793,158086,165386,173491,181827,190609,198370,207191,216824,226713,236184,246622,257486,265928,276146,286605,297535,308993,320922,332424,343091,354065,366946,380532,395048,410451,425282,440215,456183,473105,490401,508953,528859,548318,566840,585481,604641,625544,648315,673165,697413,719664,742417,767296,793802,820916,849522,878254,906752,936181,968857,1003832,1039084,1077781,1118206,1155338,1193078,1238798,1288108,1337024,1385635,1435616,1480073,1531669,1581963,1634746,1695988,1750723,1803695,1855745,1908254,1964536,2027074,2088611,2153010,2215074,2268675,2329638,2396637,2461190,2525922,2589952,2647663,2702681,2767253,2836925,2905825,2975701,3044940,3106348,3167323,3224547,3310234,3387500,3463972,3542733,3621245,3691166,3769523,3853406,3936747,4023179,4113811,4204613,4280422,4370128,4465863,4562414,4659984,4754356,4846427,4930236,5020359,5118253,5214677,5308014,5400619,5487580,5562663,5646010,5732518,5818570,5903932,5992532,6074702,6145291,6225763,6312584,6394068,6473544,6549373,6623815,6685082,6757131,6835655,6906151,6979423,7053806,7120538,7175880,7239389,7307097,7370468,7432680,7494551,7550273,7597063,7651107,7706946,7761312,7814682,7864811,7909959,7946429,7990322,8040203,8088851,8137119,8184082,8229313,8267623,8313876,8364086,8411724,8462080,8507754,8553657,8591730,8636011,8683916,8728795,8773479,8814579,8845127,8874290,8912907,8958483,9004365,9050597,9095806,9139865,9177840,9222216,9266705,9309787,9351109,9392919,9431691,9462809,9499413,9534964,9571559,9608211,9644222,9677203,9703770,9735850,9767371,9796744,9826775,9857029,9884100,9906165,9932547,9956557,9979447,10004599,10031223,10055560,10075116,10099066,10123778,10146845
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,7,13,17,24,38,51,62,62,116,150,202,240,274,402,554,709,927,1170,1187,1280,1326,1353,1380,1462,1505,1585,1655,1686,1749,1845,1934,2003,2028,2173,2272,2415,2506,2605,2783,3034,3158,3300,3465,3635,3953,4220,4361,4546,4793,4996,5350,5647,5951,6336,6783,7220,7572,7808,8232,8895,9420,10015,10652,11350,12074,12739,13524,14355,15515,16433,17200,18003,19137,20125,21343,22583,23615,24264,25937,27403,29240,30967,32683,34357,35812,37525,40792,43434,45973,48285,50879,52991,55421,58568,61927,65736,70038,73533,76334,80412,83890,87715,92681,97302,101590,106108,111796,118375,124590,131800,138134,144264,151209,159333,168061,177124,187977,196750,205721,215855,224665,238339,250687,264184,276242,287796,298292,311049,324221,337594,350879,364328,373628,381798,394948,408052,421996,434200,445433,452529,459761,471123,482169,493183,503290,511485,516862,521318,529877,538184,545476,553188,559859,563598,566109,568919,572865,579140,583653,587345,589886,592144,596060,599940,603338,607045,609773,611450,613017,615701,618286,620132,622551,625056,627041,628259,630595,633015,635078,636884,638517,639362,640441,642431,644438,646398,648214,649793,650749,651521,653444,655572,657627,659656,661211,661936,663282,665188,667049,668529,669498,670766,671669,672572,674339,676084,677833,679716,681289,682215,683242,685155,686891,688352,690896,692471,693359,694537,696414,698184,700203,702131,703793,705254,706304,708359,710515,712412,714246,715868,716759,717851,719714,721770,723682,725452,726823,727595,728836,730548,732414,734175,735906,737278,738525,740254,742394,744732,746945,749182,751024,752269,754256,757144,759658,762763,765409,767679,769759,772252,775502,778571,781941,785139,787702,790004,792299,796472,800872,805804,810449,814565,817878,821889,828598,836764,845083,852965,860964,866127,873679,883687,892813,901538,912477,921922,930711,940212,954258,968563
"Korea, South",1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,24,24,25,27,28,28,28,28,28,29,30,31,31,104,204,433,602,833,977,1261,1766,2337,3150,3736,4335,5186,5621,6088,6593,7041,7314,7478,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,8652,8799,8961,8961,9037,9137,9241,9332,9478,9583,9661,9786,9887,9976,10062,10156,10237,10284,10331,10384,10423,10450,10480,10512,10537,10564,10591,10613,10635,10653,10661,10674,10683,10694,10708,10718,10728,10738,10752,10761,10765,10774,10780,10793,10801,10804,10806,10810,10822,10840,10874,10909,10936,10962,10991,11018,11037,11050,11065,11078,11110,11122,11142,11165,11190,11206,11225,11265,11344,11402,11441,11468,11503,11541,11590,11629,11668,11719,11776,11814,11852,11902,11947,12003,12051,12085,12121,12155,12198,12257,12306,12373,12421,12438,12484,12535,12563,12602,12653,12715,12757,12800,12850,12904,12967,13030,13091,13137,13181,13244,13293,13338,13373,13417,13479,13512,13551,13612,13672,13711,13745,13771,13816,13879,13938,13979,14092,14150,14175,14203,14251,14269,14305,14336,14366,14389,14423,14456,14499,14519,14562,14598,14626,14660,14714,14770,14873,15039,15318,15515,15761,16058,16346,16670,17002,17399,17665,17945,18265,18706,19077,19400,19699,19947,20182,20449,20644,20842,21010,21177,21296,21432,21588,21743,21919,22055,22176,22285,22391,22504,22657,22783,22893,22975,23045,23106,23216,23341,23455,23516,23611,23661,23699,23812,23889,23952,24027,24091,24164,24239,24353,24422,24476,24548,24606,24703,24805,24889,24988,25035,25108,25199,25275,25333,25424,25543,25698,25775,25836,25955,26043,26146,26271,26385,26511,26635,26732,26807,26925,27050,27195,27284,27427,27553,27653,27799,27942,28133,28338,28546,28769,28998,29311,29654,30017,30403,30733,31004,31353,31735,32318,32887,33375,33824,34201,34652,35163,35703,36332,36915,37546,38161,38755,39432,40098,40786,41736,42766,43484,44364,45442,46453,47515,48570,49665,50591,51460,52550,53533,54770
Vietnam,0,2,2,2,2,2,2,2,2,2,6,6,8,8,8,10,10,13,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,30,30,31,38,39,47,53,56,61,66,75,85,91,94,113,123,134,141,153,163,174,188,203,212,218,233,237,240,241,245,249,251,255,257,258,262,265,266,267,268,268,268,268,268,268,268,268,270,270,270,270,270,270,270,270,270,271,271,271,271,288,288,288,288,288,288,288,312,314,318,320,324,324,324,324,324,325,325,326,327,327,327,328,328,328,328,328,328,328,328,329,331,332,332,332,332,333,334,334,334,334,335,342,349,349,349,349,349,352,352,353,355,355,355,355,355,355,355,355,355,369,369,369,369,370,370,372,373,373,381,381,382,382,383,384,401,408,412,415,417,420,431,446,459,509,558,590,621,652,672,717,750,789,812,841,847,866,883,911,930,951,964,983,989,994,1007,1009,1014,1016,1022,1029,1034,1036,1038,1040,1040,1044,1044,1046,1046,1049,1049,1049,1049,1054,1059,1059,1060,1060,1063,1063,1063,1063,1066,1068,1068,1068,1068,1068,1069,1069,1069,1069,1074,1077,1094,1094,1095,1096,1096,1096,1097,1098,1099,1100,1105,1107,1109,1110,1113,1122,1124,1124,1126,1134,1140,1141,1144,1148,1148,1160,1168,1169,1172,1173,1177,1177,1180,1180,1192,1202,1203,1207,1212,1213,1213,1215,1226,1252,1253,1256,1265,1281,1283,1288,1300,1304,1305,1306,1307,1312,1316,1321,1331,1339,1341,1343,1347,1351,1358,1361,1361,1365,1366,1367,1377,1381,1385,1391,1395,1397,1402,1405,1405,1407,1410,1411,1413,1414,1420,1421,1432
